АБАЖУР 	Колпак для лампы, светильника
АБАЗИНЫ 	Народ, живущий в Карачаево-Черкесии и в Адыгее
АББАТ 	Настоятель мужского католического монастыря
АББАТСТВО 	Католический монастырь
АББРЕВИАТУРА 	В словообразовании: существительное, образованное из усеченных отрезков слов (напр., исполком, комсомол), из таких же отрезков в сочетании с целым словом (напр., роддом, запчасти), а также из начальных звуков слов или названий их начальных букв (напр., вуз, АТС, МХАТ, ЭВМ, СКВ), сложносокращенное слово
АБЕРРАЦИЯ 	Отклонение от чего-н., а также искажение чего-н
АБЗАЦ 	Красная строка, отступ в начале строки
АБИТУРИЕНТ 	Выпускник средней школы (устар.)
АБОНЕМЕНТ 	Документ, предоставляющий право на пользование чем-н., ка-кое-н. обслуживание, а также само такое право
АБОНЕНТ 	Лицо, пользующееся абонементом, имеющее право на пользование чем-н. по абонементу
АБОРДАЖ 	В эпоху гребного и парусного флота: атака корабля противника при непосредственном сближении с ним для рукопашного боя
АБОРИГЕН 	Коренной житель страны, местности
АБОРТ 	Преждевременное прерывание беременности, самопроизвольное или искусственное, выкидыш
АБРАЗИВ 	Твердое мелкозернистое или порошкообразное вещество (кремень, наждак, корунд, карборунд, пемза, гранат), применяемое для шлифовки, полировки, заточки
АБРЕК 	В период присоединения Кавказа к России: горец, участвовавший в борьбе против царских войск и администрации
АБСЕНТЕИЗМ 	Уклонение избирателей от участия в выборах в государственные органы
АБСОЛЮТ 	В философии: вечная, неизменная первооснова всего существующего (дух, идея, божество)
АБСОЛЮТИЗМ 	Форма правления, при к-рой верховная власть целиком принадлежит самодержавному монарху, неограниченная монархия. прил. абсолютистский, -ая, -ое
АБСТРАКЦИОНИЗМ 	В изобразительном искусстве 20 в.: направление, последователи к-рого изображают реальный мир как сочетание отвлеченных форм или цветовых пятен
АБСТРАКЦИОНИСТ 	Художник -последователь абстракционизма
АБСТРАКЦИЯ 	Мысленное отвлечение, обособление от тех или иных сторон, свойств или связей предметов и явлений для выделения существенных их признаков
АБСЦЕСС 	Нарыв, гнойник, скопление гноя в органах или тканях в результате воспалительного процесса
АВАНГАРД 	Часть войск (или флота), находящаяся впереди главных сил
АВАНГАРДИЗМ 	Стремление ка-кой-н. общественной группы к главенствующей роли в чем-н
АВАНГАРДИСТ 	Сторонник авангардизма
АВАНЗАЛ 	Помещение перед главным залом в общественных зданиях
АВАНЛОЖА 	Небольшое помещение перед входом в театральную ложу
АВАНПОРТ 	Защищенная от волн внешняя часть порта
АВАНПОСТ 	Передовой сторожевой пост, а также место расположения такого поста
АВАНСЦЕНА 	Передняя часть сцены
АВАНТЮРА 	Рискованное и сомнительное дело, предпринятое в расчете на случайный успех
АВАНТЮРИЗМ 	Склонность к авантюрам
АВАНТЮРИСТ 	Беспринципный человек, занимающийся авантюрами
АВАРИИЩИК 	Работник аварийной службы (разг.)
АВАРИЯ 	Повреждение, выход из строя какого-н. механизма, машины, устройства во время работы, движения
АВАРЦЫ 	Народ, относящийся к коренному населению Дагестана
АВГУСТ 	Восьмой месяц календарного года
АВИАМОДЕЛИЗМ 	Постройка и запуск моделей летательных аппаратов
АВИАМОДЕЛИСТ 	Человек, занимающийся авиамоделизмом
АВИАМОДЕЛЬ 	Модель летательного аппарата
АВИАНОСЕЦ 	Военный корабль, оборудованный как подвижной морской аэродром
АВИАПОЧТА 	Воздушная почта
АВИАСАЛОН 	Выставка новейших образцов самолетов, авиационной техники
